timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], fan.speed [%]
2024/12/17 19:59:55.716, 2775 MHz, 10251 MHz, P2, 96 %, 37 %, 11512 MiB, 254.80 W, 43 %
2024/12/17 19:59:56.220, 2775 MHz, 10251 MHz, P2, 98 %, 38 %, 11512 MiB, 254.89 W, 43 %
2024/12/17 19:59:56.723, 2775 MHz, 10251 MHz, P2, 97 %, 37 %, 11556 MiB, 252.35 W, 43 %
2024/12/17 19:59:57.227, 2775 MHz, 10251 MHz, P2, 95 %, 34 %, 11542 MiB, 253.11 W, 43 %
2024/12/17 19:59:57.734, 2775 MHz, 10251 MHz, P2, 95 %, 36 %, 11541 MiB, 255.45 W, 43 %
2024/12/17 19:59:58.238, 2775 MHz, 10251 MHz, P2, 95 %, 36 %, 11542 MiB, 255.59 W, 43 %
2024/12/17 19:59:58.741, 2775 MHz, 10251 MHz, P2, 94 %, 36 %, 11541 MiB, 256.51 W, 43 %
2024/12/17 19:59:59.246, 2775 MHz, 10251 MHz, P2, 96 %, 36 %, 11543 MiB, 257.08 W, 43 %
2024/12/17 19:59:59.749, 2775 MHz, 10251 MHz, P2, 97 %, 36 %, 11544 MiB, 257.07 W, 43 %
2024/12/17 20:00:00.251, 2775 MHz, 10251 MHz, P2, 97 %, 37 %, 11543 MiB, 256.00 W, 44 %
2024/12/17 20:00:00.754, 2775 MHz, 10251 MHz, P2, 97 %, 37 %, 11543 MiB, 255.40 W, 44 %
2024/12/17 20:00:01.257, 2775 MHz, 10251 MHz, P2, 96 %, 38 %, 11540 MiB, 255.61 W, 44 %
2024/12/17 20:00:01.760, 2775 MHz, 10251 MHz, P2, 97 %, 37 %, 11538 MiB, 256.45 W, 44 %
2024/12/17 20:00:02.268, 2775 MHz, 10251 MHz, P2, 97 %, 37 %, 11538 MiB, 255.83 W, 44 %
2024/12/17 20:00:02.771, 2775 MHz, 10251 MHz, P2, 97 %, 38 %, 11537 MiB, 255.91 W, 44 %
2024/12/17 20:00:03.276, 2775 MHz, 10251 MHz, P2, 97 %, 38 %, 11537 MiB, 256.90 W, 44 %
2024/12/17 20:00:03.783, 2775 MHz, 10251 MHz, P2, 98 %, 38 %, 11537 MiB, 256.29 W, 44 %
2024/12/17 20:00:04.289, 2775 MHz, 10251 MHz, P2, 97 %, 38 %, 11539 MiB, 256.59 W, 44 %
2024/12/17 20:00:04.793, 2775 MHz, 10251 MHz, P2, 94 %, 35 %, 11541 MiB, 255.94 W, 44 %
2024/12/17 20:00:05.298, 2775 MHz, 10251 MHz, P2, 95 %, 37 %, 11546 MiB, 254.10 W, 44 %
2024/12/17 20:00:05.802, 2775 MHz, 10251 MHz, P2, 97 %, 39 %, 11547 MiB, 253.13 W, 44 %
2024/12/17 20:00:06.307, 2775 MHz, 10251 MHz, P2, 96 %, 36 %, 11562 MiB, 253.98 W, 44 %
2024/12/17 20:00:06.813, 2775 MHz, 10251 MHz, P2, 99 %, 37 %, 11566 MiB, 253.55 W, 44 %
2024/12/17 20:00:07.317, 2775 MHz, 10251 MHz, P2, 96 %, 37 %, 11552 MiB, 250.01 W, 44 %
2024/12/17 20:00:07.825, 2775 MHz, 10251 MHz, P2, 96 %, 35 %, 11545 MiB, 251.30 W, 44 %
2024/12/17 20:00:08.331, 2775 MHz, 10251 MHz, P2, 95 %, 34 %, 11519 MiB, 252.75 W, 44 %
2024/12/17 20:00:08.838, 2775 MHz, 10251 MHz, P2, 98 %, 36 %, 11517 MiB, 253.29 W, 44 %
2024/12/17 20:00:09.345, 2775 MHz, 10251 MHz, P2, 96 %, 35 %, 11507 MiB, 253.49 W, 44 %
2024/12/17 20:00:09.853, 2775 MHz, 10251 MHz, P2, 91 %, 35 %, 11504 MiB, 251.10 W, 44 %
2024/12/17 20:00:10.356, 2775 MHz, 10251 MHz, P2, 98 %, 38 %, 11488 MiB, 253.68 W, 44 %
2024/12/17 20:00:10.868, 2775 MHz, 10251 MHz, P2, 96 %, 38 %, 11490 MiB, 253.32 W, 44 %
2024/12/17 20:00:11.373, 2775 MHz, 10251 MHz, P2, 94 %, 37 %, 11488 MiB, 252.06 W, 44 %
2024/12/17 20:00:11.881, 2775 MHz, 10251 MHz, P2, 96 %, 37 %, 11506 MiB, 254.45 W, 44 %
2024/12/17 20:00:12.385, 2775 MHz, 10251 MHz, P2, 96 %, 37 %, 11499 MiB, 255.75 W, 44 %
2024/12/17 20:00:12.893, 2775 MHz, 10251 MHz, P2, 95 %, 37 %, 11493 MiB, 256.60 W, 44 %
2024/12/17 20:00:13.400, 2775 MHz, 10251 MHz, P2, 96 %, 37 %, 11492 MiB, 256.99 W, 44 %
2024/12/17 20:00:13.908, 2775 MHz, 10251 MHz, P2, 95 %, 37 %, 11492 MiB, 257.00 W, 44 %
