timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], fan.speed [%]
2024/12/17 20:04:50.162, 2790 MHz, 10251 MHz, P2, 54 %, 9 %, 11516 MiB, 97.27 W, 41 %
2024/12/17 20:04:50.669, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11516 MiB, 97.24 W, 41 %
2024/12/17 20:04:51.172, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11516 MiB, 97.07 W, 40 %
2024/12/17 20:04:51.676, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11516 MiB, 96.89 W, 40 %
2024/12/17 20:04:52.178, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11516 MiB, 97.03 W, 40 %
2024/12/17 20:04:52.680, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11516 MiB, 97.13 W, 40 %
2024/12/17 20:04:53.184, 2790 MHz, 10251 MHz, P2, 54 %, 9 %, 11516 MiB, 97.01 W, 40 %
2024/12/17 20:04:53.687, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11516 MiB, 97.10 W, 39 %
2024/12/17 20:04:54.190, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11516 MiB, 96.88 W, 39 %
2024/12/17 20:04:54.693, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11516 MiB, 96.96 W, 39 %
2024/12/17 20:04:55.196, 2790 MHz, 10251 MHz, P2, 49 %, 9 %, 11516 MiB, 96.70 W, 39 %
2024/12/17 20:04:55.702, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11516 MiB, 96.62 W, 39 %
2024/12/17 20:04:56.206, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11516 MiB, 96.64 W, 39 %
2024/12/17 20:04:56.709, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11515 MiB, 96.44 W, 39 %
2024/12/17 20:04:57.211, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11515 MiB, 96.62 W, 38 %
2024/12/17 20:04:57.713, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11515 MiB, 96.47 W, 38 %
2024/12/17 20:04:58.217, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11515 MiB, 96.47 W, 38 %
2024/12/17 20:04:58.721, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.73 W, 38 %
2024/12/17 20:04:59.225, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.62 W, 38 %
2024/12/17 20:04:59.727, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.54 W, 38 %
2024/12/17 20:05:00.230, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.57 W, 37 %
2024/12/17 20:05:00.735, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.48 W, 37 %
2024/12/17 20:05:01.238, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 96.58 W, 37 %
2024/12/17 20:05:01.742, 2790 MHz, 10251 MHz, P2, 54 %, 9 %, 11514 MiB, 96.50 W, 37 %
2024/12/17 20:05:02.245, 2790 MHz, 10251 MHz, P2, 50 %, 9 %, 11514 MiB, 96.33 W, 37 %
2024/12/17 20:05:02.747, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 95.92 W, 37 %
2024/12/17 20:05:03.251, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.90 W, 37 %
2024/12/17 20:05:03.753, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11514 MiB, 95.79 W, 37 %
2024/12/17 20:05:04.255, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.14 W, 37 %
2024/12/17 20:05:04.757, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11514 MiB, 96.16 W, 36 %
2024/12/17 20:05:05.261, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.23 W, 36 %
2024/12/17 20:05:05.764, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 96.21 W, 36 %
2024/12/17 20:05:06.272, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 96.02 W, 36 %
2024/12/17 20:05:06.775, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11514 MiB, 96.11 W, 36 %
2024/12/17 20:05:07.278, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.18 W, 36 %
2024/12/17 20:05:07.782, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.73 W, 36 %
2024/12/17 20:05:08.287, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11514 MiB, 96.51 W, 36 %
2024/12/17 20:05:08.789, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.33 W, 36 %
2024/12/17 20:05:09.291, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 96.21 W, 36 %
2024/12/17 20:05:09.794, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11514 MiB, 95.86 W, 35 %
2024/12/17 20:05:10.297, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 95.88 W, 35 %
2024/12/17 20:05:10.803, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 95.84 W, 35 %
2024/12/17 20:05:11.306, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.91 W, 35 %
2024/12/17 20:05:11.809, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 95.85 W, 35 %
2024/12/17 20:05:12.312, 2790 MHz, 10251 MHz, P2, 54 %, 9 %, 11514 MiB, 95.77 W, 35 %
2024/12/17 20:05:12.814, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.78 W, 35 %
2024/12/17 20:05:13.320, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.85 W, 35 %
2024/12/17 20:05:13.822, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.99 W, 35 %
2024/12/17 20:05:14.325, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.01 W, 35 %
2024/12/17 20:05:14.828, 2790 MHz, 10251 MHz, P2, 55 %, 9 %, 11514 MiB, 95.78 W, 35 %
2024/12/17 20:05:15.330, 2790 MHz, 10251 MHz, P2, 51 %, 9 %, 11514 MiB, 96.03 W, 35 %
2024/12/17 20:05:15.835, 2790 MHz, 10251 MHz, P2, 50 %, 9 %, 11514 MiB, 95.53 W, 35 %
2024/12/17 20:05:16.339, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.79 W, 34 %
2024/12/17 20:05:16.841, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 96.00 W, 34 %
2024/12/17 20:05:17.344, 2790 MHz, 10251 MHz, P2, 54 %, 9 %, 11514 MiB, 96.06 W, 34 %
2024/12/17 20:05:17.846, 2790 MHz, 10251 MHz, P2, 55 %, 9 %, 11514 MiB, 96.09 W, 34 %
2024/12/17 20:05:18.350, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.69 W, 34 %
2024/12/17 20:05:18.853, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.85 W, 34 %
2024/12/17 20:05:19.357, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 95.99 W, 34 %
2024/12/17 20:05:19.860, 2790 MHz, 10251 MHz, P2, 52 %, 9 %, 11514 MiB, 95.83 W, 34 %
2024/12/17 20:05:20.363, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.68 W, 34 %
2024/12/17 20:05:20.869, 2790 MHz, 10251 MHz, P2, 54 %, 9 %, 11514 MiB, 95.75 W, 34 %
2024/12/17 20:05:21.371, 2790 MHz, 10251 MHz, P2, 55 %, 9 %, 11514 MiB, 95.81 W, 34 %
2024/12/17 20:05:21.875, 2790 MHz, 10251 MHz, P2, 54 %, 9 %, 11514 MiB, 95.79 W, 34 %
2024/12/17 20:05:22.377, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11514 MiB, 96.35 W, 34 %
2024/12/17 20:05:22.880, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.91 W, 33 %
2024/12/17 20:05:23.382, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.89 W, 33 %
2024/12/17 20:05:23.884, 2790 MHz, 10251 MHz, P2, 54 %, 9 %, 11514 MiB, 95.99 W, 33 %
2024/12/17 20:05:24.386, 2790 MHz, 10251 MHz, P2, 53 %, 9 %, 11514 MiB, 95.86 W, 33 %
2024/12/17 20:05:24.982, 2790 MHz, 10251 MHz, P2, 50 %, 9 %, 11515 MiB, 95.62 W, 33 %
2024/12/17 20:05:25.543, 2790 MHz, 10251 MHz, P2, 50 %, 10 %, 11512 MiB, 94.69 W, 33 %
2024/12/17 20:05:26.059, 2790 MHz, 10251 MHz, P2, 45 %, 9 %, 11512 MiB, 93.24 W, 33 %
2024/12/17 20:05:26.562, 2790 MHz, 10251 MHz, P2, 39 %, 8 %, 11540 MiB, 90.59 W, 33 %
2024/12/17 20:05:27.065, 2790 MHz, 10251 MHz, P2, 41 %, 9 %, 11548 MiB, 90.31 W, 33 %
2024/12/17 20:05:27.567, 2790 MHz, 10251 MHz, P2, 48 %, 10 %, 11543 MiB, 94.00 W, 33 %
2024/12/17 20:05:28.070, 2790 MHz, 10251 MHz, P2, 55 %, 11 %, 11542 MiB, 96.51 W, 33 %
2024/12/17 20:05:28.576, 2790 MHz, 10251 MHz, P2, 51 %, 10 %, 11593 MiB, 97.77 W, 33 %
2024/12/17 20:05:29.079, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11575 MiB, 98.14 W, 33 %
2024/12/17 20:05:29.582, 2790 MHz, 10251 MHz, P2, 50 %, 10 %, 11780 MiB, 96.71 W, 33 %
2024/12/17 20:05:30.084, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11776 MiB, 97.22 W, 33 %
2024/12/17 20:05:30.586, 2790 MHz, 10251 MHz, P2, 47 %, 9 %, 11750 MiB, 97.12 W, 33 %
2024/12/17 20:05:31.089, 2790 MHz, 10251 MHz, P2, 42 %, 8 %, 11750 MiB, 94.89 W, 33 %
2024/12/17 20:05:31.593, 2790 MHz, 10251 MHz, P2, 45 %, 9 %, 11735 MiB, 91.33 W, 33 %
2024/12/17 20:05:32.096, 2790 MHz, 10251 MHz, P2, 45 %, 9 %, 11652 MiB, 89.93 W, 32 %
2024/12/17 20:05:32.599, 2790 MHz, 10251 MHz, P2, 50 %, 9 %, 11713 MiB, 92.16 W, 32 %
2024/12/17 20:05:33.102, 2790 MHz, 10251 MHz, P2, 61 %, 11 %, 11671 MiB, 95.71 W, 32 %
2024/12/17 20:05:33.605, 2790 MHz, 10251 MHz, P2, 60 %, 11 %, 11689 MiB, 97.38 W, 32 %
2024/12/17 20:05:34.107, 2790 MHz, 10251 MHz, P2, 62 %, 11 %, 11713 MiB, 98.12 W, 32 %
2024/12/17 20:05:34.611, 2790 MHz, 10251 MHz, P2, 59 %, 11 %, 11638 MiB, 99.34 W, 32 %
2024/12/17 20:05:35.113, 2790 MHz, 10251 MHz, P2, 59 %, 11 %, 11643 MiB, 98.83 W, 32 %
2024/12/17 20:05:35.617, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11643 MiB, 98.32 W, 32 %
2024/12/17 20:05:36.119, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11642 MiB, 97.68 W, 32 %
2024/12/17 20:05:36.621, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11641 MiB, 97.02 W, 32 %
2024/12/17 20:05:37.124, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11633 MiB, 97.55 W, 32 %
2024/12/17 20:05:37.627, 2790 MHz, 10251 MHz, P2, 58 %, 11 %, 11627 MiB, 97.60 W, 32 %
2024/12/17 20:05:38.130, 2790 MHz, 10251 MHz, P2, 59 %, 11 %, 11622 MiB, 98.49 W, 32 %
2024/12/17 20:05:38.633, 2790 MHz, 10251 MHz, P2, 53 %, 10 %, 11775 MiB, 97.97 W, 32 %
2024/12/17 20:05:39.135, 2790 MHz, 10251 MHz, P2, 58 %, 11 %, 11758 MiB, 97.65 W, 32 %
2024/12/17 20:05:39.638, 2790 MHz, 10251 MHz, P2, 61 %, 11 %, 11724 MiB, 98.75 W, 32 %
2024/12/17 20:05:40.141, 2790 MHz, 10251 MHz, P2, 51 %, 10 %, 11689 MiB, 97.16 W, 32 %
2024/12/17 20:05:40.644, 2790 MHz, 10251 MHz, P2, 52 %, 10 %, 11777 MiB, 94.84 W, 32 %
2024/12/17 20:05:41.147, 2790 MHz, 10251 MHz, P2, 49 %, 9 %, 11718 MiB, 93.87 W, 32 %
2024/12/17 20:05:41.651, 2790 MHz, 10251 MHz, P2, 54 %, 10 %, 11718 MiB, 94.33 W, 32 %
2024/12/17 20:05:42.153, 2790 MHz, 10251 MHz, P2, 55 %, 10 %, 11697 MiB, 96.06 W, 32 %
2024/12/17 20:05:42.656, 2790 MHz, 10251 MHz, P2, 54 %, 10 %, 11700 MiB, 98.15 W, 32 %
2024/12/17 20:05:43.160, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11650 MiB, 98.35 W, 31 %
2024/12/17 20:05:43.663, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11649 MiB, 97.61 W, 31 %
2024/12/17 20:05:44.166, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11647 MiB, 97.29 W, 31 %
2024/12/17 20:05:44.669, 2790 MHz, 10251 MHz, P2, 60 %, 10 %, 11641 MiB, 97.56 W, 31 %
2024/12/17 20:05:45.172, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11638 MiB, 97.58 W, 31 %
2024/12/17 20:05:45.674, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11638 MiB, 97.47 W, 31 %
2024/12/17 20:05:46.176, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11637 MiB, 97.73 W, 31 %
2024/12/17 20:05:46.679, 2790 MHz, 10251 MHz, P2, 59 %, 11 %, 11626 MiB, 98.04 W, 31 %
2024/12/17 20:05:47.181, 2790 MHz, 10251 MHz, P2, 51 %, 10 %, 11607 MiB, 97.51 W, 31 %
2024/12/17 20:05:47.684, 2790 MHz, 10251 MHz, P2, 56 %, 11 %, 11635 MiB, 96.77 W, 31 %
2024/12/17 20:05:48.187, 2790 MHz, 10251 MHz, P2, 44 %, 9 %, 11646 MiB, 94.67 W, 31 %
2024/12/17 20:05:48.690, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11646 MiB, 94.60 W, 31 %
2024/12/17 20:05:49.193, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11647 MiB, 96.64 W, 31 %
2024/12/17 20:05:49.696, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11647 MiB, 97.75 W, 31 %
2024/12/17 20:05:50.198, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11646 MiB, 98.11 W, 31 %
2024/12/17 20:05:50.701, 2790 MHz, 10251 MHz, P2, 60 %, 10 %, 11646 MiB, 98.14 W, 31 %
2024/12/17 20:05:51.205, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11638 MiB, 98.26 W, 31 %
2024/12/17 20:05:51.708, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11637 MiB, 98.46 W, 31 %
2024/12/17 20:05:52.211, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11637 MiB, 98.77 W, 31 %
2024/12/17 20:05:52.713, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11637 MiB, 98.38 W, 31 %
2024/12/17 20:05:53.215, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11637 MiB, 98.43 W, 31 %
2024/12/17 20:05:53.718, 2790 MHz, 10251 MHz, P2, 60 %, 10 %, 11637 MiB, 98.34 W, 31 %
2024/12/17 20:05:54.220, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11637 MiB, 98.04 W, 31 %
2024/12/17 20:05:54.723, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11636 MiB, 98.15 W, 31 %
2024/12/17 20:05:55.226, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11636 MiB, 98.33 W, 31 %
2024/12/17 20:05:55.729, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11636 MiB, 98.47 W, 31 %
2024/12/17 20:05:56.231, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11632 MiB, 98.47 W, 31 %
2024/12/17 20:05:56.734, 2790 MHz, 10251 MHz, P2, 53 %, 10 %, 11632 MiB, 98.13 W, 31 %
2024/12/17 20:05:57.236, 2790 MHz, 10251 MHz, P2, 55 %, 10 %, 11632 MiB, 98.08 W, 31 %
2024/12/17 20:05:57.739, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11632 MiB, 98.38 W, 31 %
2024/12/17 20:05:58.243, 2790 MHz, 10251 MHz, P2, 60 %, 11 %, 11632 MiB, 98.68 W, 31 %
2024/12/17 20:05:58.746, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11632 MiB, 98.59 W, 30 %
2024/12/17 20:05:59.248, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11632 MiB, 98.48 W, 30 %
2024/12/17 20:05:59.751, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11632 MiB, 98.55 W, 30 %
2024/12/17 20:06:00.254, 2790 MHz, 10251 MHz, P2, 60 %, 10 %, 11632 MiB, 98.40 W, 30 %
2024/12/17 20:06:00.757, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11632 MiB, 98.11 W, 30 %
2024/12/17 20:06:01.260, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11626 MiB, 97.71 W, 30 %
2024/12/17 20:06:01.763, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11626 MiB, 97.33 W, 30 %
2024/12/17 20:06:02.266, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11626 MiB, 97.41 W, 30 %
2024/12/17 20:06:02.769, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11610 MiB, 97.99 W, 30 %
2024/12/17 20:06:03.272, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11601 MiB, 97.97 W, 30 %
2024/12/17 20:06:03.775, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11608 MiB, 97.61 W, 30 %
2024/12/17 20:06:04.278, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11611 MiB, 97.14 W, 30 %
2024/12/17 20:06:04.781, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11611 MiB, 97.33 W, 30 %
2024/12/17 20:06:05.284, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11611 MiB, 97.95 W, 30 %
2024/12/17 20:06:05.787, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11611 MiB, 97.82 W, 30 %
2024/12/17 20:06:06.289, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11611 MiB, 97.77 W, 30 %
2024/12/17 20:06:06.792, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11610 MiB, 97.59 W, 30 %
2024/12/17 20:06:07.295, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11610 MiB, 97.55 W, 30 %
2024/12/17 20:06:07.799, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11610 MiB, 97.75 W, 30 %
2024/12/17 20:06:08.302, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11611 MiB, 97.31 W, 30 %
2024/12/17 20:06:08.805, 2790 MHz, 10251 MHz, P2, 53 %, 10 %, 11611 MiB, 96.58 W, 30 %
2024/12/17 20:06:09.307, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11610 MiB, 96.46 W, 30 %
2024/12/17 20:06:09.810, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11609 MiB, 97.44 W, 30 %
2024/12/17 20:06:10.312, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11609 MiB, 97.60 W, 30 %
2024/12/17 20:06:10.815, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11609 MiB, 97.59 W, 30 %
2024/12/17 20:06:11.319, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11608 MiB, 97.70 W, 30 %
2024/12/17 20:06:11.822, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11599 MiB, 97.38 W, 30 %
2024/12/17 20:06:12.324, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 97.45 W, 30 %
2024/12/17 20:06:12.827, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 97.51 W, 30 %
2024/12/17 20:06:13.330, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11593 MiB, 97.47 W, 30 %
2024/12/17 20:06:13.832, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11593 MiB, 97.57 W, 30 %
2024/12/17 20:06:14.337, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11593 MiB, 97.64 W, 30 %
2024/12/17 20:06:14.839, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.76 W, 30 %
2024/12/17 20:06:15.342, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11593 MiB, 97.26 W, 30 %
2024/12/17 20:06:15.845, 2790 MHz, 10251 MHz, P2, 55 %, 10 %, 11593 MiB, 97.11 W, 30 %
2024/12/17 20:06:16.349, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 97.36 W, 30 %
2024/12/17 20:06:16.851, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.64 W, 30 %
2024/12/17 20:06:17.354, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 97.39 W, 30 %
2024/12/17 20:06:17.858, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 97.31 W, 30 %
2024/12/17 20:06:18.361, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.66 W, 30 %
2024/12/17 20:06:18.863, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11593 MiB, 97.75 W, 30 %
2024/12/17 20:06:19.365, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11593 MiB, 97.62 W, 30 %
2024/12/17 20:06:19.868, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.52 W, 30 %
2024/12/17 20:06:20.371, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 97.35 W, 30 %
2024/12/17 20:06:20.874, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 97.86 W, 30 %
2024/12/17 20:06:21.377, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11593 MiB, 97.97 W, 30 %
2024/12/17 20:06:21.879, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 98.04 W, 30 %
2024/12/17 20:06:22.381, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.52 W, 30 %
2024/12/17 20:06:22.884, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11593 MiB, 97.58 W, 30 %
2024/12/17 20:06:23.387, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.84 W, 30 %
2024/12/17 20:06:23.890, 2790 MHz, 10251 MHz, P2, 54 %, 10 %, 11593 MiB, 97.66 W, 30 %
2024/12/17 20:06:24.395, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.92 W, 30 %
2024/12/17 20:06:24.898, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.89 W, 30 %
2024/12/17 20:06:25.400, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11593 MiB, 97.59 W, 30 %
2024/12/17 20:06:25.903, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11593 MiB, 97.64 W, 30 %
2024/12/17 20:06:26.406, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.91 W, 30 %
2024/12/17 20:06:26.909, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.82 W, 30 %
2024/12/17 20:06:27.412, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 98.03 W, 30 %
2024/12/17 20:06:27.915, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 98.15 W, 30 %
2024/12/17 20:06:28.417, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.89 W, 30 %
2024/12/17 20:06:28.920, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.82 W, 30 %
2024/12/17 20:06:29.423, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11609 MiB, 98.04 W, 30 %
2024/12/17 20:06:29.926, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11609 MiB, 97.78 W, 30 %
2024/12/17 20:06:30.429, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11609 MiB, 97.72 W, 30 %
2024/12/17 20:06:30.932, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11609 MiB, 97.89 W, 30 %
2024/12/17 20:06:31.435, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11609 MiB, 97.75 W, 30 %
2024/12/17 20:06:31.938, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11608 MiB, 97.76 W, 30 %
2024/12/17 20:06:32.442, 2790 MHz, 10251 MHz, P2, 59 %, 10 %, 11607 MiB, 97.83 W, 30 %
2024/12/17 20:06:32.945, 2790 MHz, 10251 MHz, P2, 55 %, 10 %, 11606 MiB, 97.90 W, 30 %
2024/12/17 20:06:33.447, 2790 MHz, 10251 MHz, P2, 53 %, 10 %, 11606 MiB, 97.37 W, 30 %
2024/12/17 20:06:33.951, 2790 MHz, 10251 MHz, P2, 53 %, 10 %, 11606 MiB, 97.00 W, 30 %
2024/12/17 20:06:34.454, 2790 MHz, 10251 MHz, P2, 55 %, 10 %, 11606 MiB, 97.39 W, 30 %
2024/12/17 20:06:34.957, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11605 MiB, 97.67 W, 30 %
2024/12/17 20:06:35.460, 2790 MHz, 10251 MHz, P2, 60 %, 10 %, 11595 MiB, 97.99 W, 30 %
2024/12/17 20:06:35.963, 2790 MHz, 10251 MHz, P2, 56 %, 10 %, 11593 MiB, 97.88 W, 30 %
2024/12/17 20:06:36.466, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 98.01 W, 30 %
2024/12/17 20:06:36.969, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 98.06 W, 30 %
2024/12/17 20:06:37.472, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 97.93 W, 30 %
2024/12/17 20:06:37.974, 2790 MHz, 10251 MHz, P2, 58 %, 10 %, 11593 MiB, 98.03 W, 30 %
2024/12/17 20:06:38.477, 2790 MHz, 10251 MHz, P2, 54 %, 10 %, 11593 MiB, 97.54 W, 30 %
2024/12/17 20:06:38.979, 2790 MHz, 10251 MHz, P2, 57 %, 10 %, 11593 MiB, 97.36 W, 30 %
